Country,Year,Agricultural land (% of land area),Arable land (% of land area),Land_Ar,Surface area (sq. km),Access to clean fuels and technologies for cooking (% of population),Energy intensity level of primary energy (MJ/$2011 PPP GDP),Renewable energy consumption (% of total final energy consumption),CO2 intensity (kg per kg of oil equivalent energy use),CO2 emissions from gaseous fuel consumption (kt),CO2 emissions from gaseous fuel consumption (% of total),CO2 emissions (metric tons per capita),CO2 emissions (kg per PPP $ of GDP),CO2 emissions (kg per 2017 PPP $ of GDP),CO2 emissions from solid fuel consumption (kt),CO2 emissions from solid fuel consumption (% of total),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Total greenhouse gas emissions (kt of CO2 equivalent),Agricultural methane emissions (thousand metric tons of CO2 equivalent),Methane emissions in energy sector (thousand metric tons of CO2 equivalent),Methane emissions (kt of CO2 equivalent),Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Aquaculture production (metric tons),Capture fisheries production (metric tons),Total fisheries production (metric tons),Adjusted savings: carbon dioxide damage (current US$),Adjusted savings: carbon dioxide damage (% of GNI),Adjusted savings: mineral depletion (current US$),Adjusted savings: mineral depletion (% of GNI),Adjusted savings: energy depletion (current US$),Adjusted savings: energy depletion (% of GNI),Adjusted savings: particulate emission damage (current US$),Adjusted savings: particulate emission damage (% of GNI),Adjusted savings: gross savings (% of GNI),Adjusted savings: net national savings (current US$),Adjusted savings: net national savings (% of GNI),"Adjusted net savings, including particulate emission damage (current US$)","Adjusted net savings, including particulate emission damage (% of GNI)","Adjusted net savings, excluding particulate emission damage (current US$)","Adjusted net savings, excluding particulate emission damage (% of GNI)",Coal rents (% of GDP),Forest rents (% of GDP),Mineral rents (% of GDP),Natural gas rents (% of GDP),Oil rents (% of GDP),Total natural resources rents (% of GDP),"People using at least basic drinking water services, rural (% of rural population)","People using at least basic drinking water services, urban (% of urban population)",People using at least basic drinking water services (% of population),People using safely managed drinking water services (% of population),"People using at least basic sanitation services, rural (% of rural population)","People using at least basic sanitation services, urban (% of urban population)",People using at least basic sanitation services (% of population),"People practicing open defecation, rural (% of rural population)",People practicing open defecation (% of population),"Mortality rate attributed to unintentional poisoning (per 100,000 population)","Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)","Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",People using safely managed sanitation services (% of population)
Malaysia,2004,21.70658956,2.88144879,328550,330800,95.87,5.606139575,3.221100092,2.598700749,59266.054,,6.251129636,0.404602588,0.356423567,31745.219,20.15953451,-4846.287598,208590,4850,20890,38600,8920,210,10250,202218,1341221,1543439,3787640258,3.200967022,11439752.08,0.009667832,7900375104,6.676674248,205057871.3,0.173296152,37.04438603,21111353290,17.84138436,15726713105,13.29077911,15931770976,13.46407526,0.008167428,2.892503645,0.016562186,2.159119006,5.728492603,10.80484487,92.50420364,99.27260037,96.9506303,92.89830288,95.60515278,98.74131322,97.66541817,2.680062403,1.14358717,0.7,0.4,1,66.47755311
Malaysia,2005,21.71483792,2.889697154,328550,330800,96.03,5.773252588,3.006000042,2.531747021,64132.163,38.53864732,6.477462684,0.39366585,0.357591429,26131.042,15.70280752,-7201.919434,219100,4820,21290,39450,9310,220,10630,215834,1219322,1435156,4256266549,3.101963785,16832057.67,0.012267191,10949159977,7.979739365,230321612.2,0.167858214,38.51209188,28242617436,20.58319785,19232140640,14.0163693,19462462252,14.18422751,0.009500538,3.333633471,0.03362993,2.304118713,7.164608376,12.84549103,92.36003142,99.26450634,96.95799742,92.96671538,95.91258239,98.85343291,97.87101237,2.485662205,1.036380441,0.7,0.4,0.9,66.67528614
Malaysia,2006,21.53462182,2.709481053,328550,330800,96.32,5.497885714,3.127899885,2.612800094,69603.327,40.30769458,6.590348185,0.375526911,0.35143752,26648.089,15.43206451,-7665.399414,226630,4680,21260,40090,9350,220,10690,228317,1292167,1520484,4408347524,2.790499582,23485976.1,0.014866706,12267888343,7.765616731,253101422,0.160214096,39.95427835,35084879071,22.2088526,24261563405,15.35765548,24514664827,15.51786958,0.010329801,3.752783504,0.030854692,2.291019215,7.164377099,13.24936431,92.2158592,99.25641231,96.96703942,93.03588589,96.22001201,98.9655526,98.07278888,2.291262008,0.93232095,0.6,0.3,0.9,66.86934744
Malaysia,2007,21.63201948,2.517729417,328550,330800,96.34,5.66366856,2.845999956,2.602413374,65492.62,34.77361155,7.048555882,0.375232866,0.360595537,29959.39,15.90707763,-9034.329102,244160,4910,21230,41020,9710,230,11080,268508,1390074,1658582,4749633655,2.50666754,27250490.51,0.014381724,12783871311,6.746818298,293898095.5,0.155107713,39.59916876,42714661979,22.54309794,31851313036,16.80985488,32145211131,16.9649626,0.017419168,4.504380562,0.052348986,2.072517407,6.219182638,12.86584876,92.07168698,99.24831829,96.97763213,93.10563173,96.52744163,99.07767229,98.2707793,2.096861811,0.831373621,0.6,0.3,0.9,67.05976743
Malaysia,2008,21.76350632,2.649216253,328550,330800,96.46,5.647571009,3.039000034,2.658604783,72690.941,36.14127231,7.384710598,0.374952064,0.367334498,38067.127,18.92662805,-8465.660645,258710,4860,21200,41540,10350,240,11740,354579,1403373,1757952,5465672632,2.441024091,31455623.13,0.014048396,16659271786,7.440197484,360698650.5,0.161091627,39.7055731,51064616682,22.8059688,37640091114,16.81044135,38000789764,16.97153297,0.044125955,4.115779076,0.061810175,2.226848432,7.2995168,13.74808044,91.92751476,99.24022426,96.98974155,93.17592346,96.83487124,99.18979197,98.4650687,1.902461614,0.733479887,0.6,0.3,0.9,67.60357221
Malaysia,2009,21.97534622,2.571906863,328550,330800,96.43,5.448617469,2.265599966,2.518274007,65496.287,36.18179593,6.526762285,0.340056116,0.33568725,46629.572,25.75934814,-6512.949707,238640,4960,21160,42270,9070,240,10490,472502.3125,1402090,1874592.25,5488975591,2.769063232,33323737.54,0.016811067,9995002540,5.04225125,345398048.2,0.174245452,34.0422284,30157398384,15.21372097,23036420967,11.62134996,23381819015,11.79559542,0.026783918,3.515040722,0.046459255,2.452131316,4.156446162,10.19686137,91.78334254,99.23213023,97.00307699,93.2462879,97.14230086,99.30191166,98.65564463,1.708061417,0.63862707,0.6,0.3,0.9,68.14477223
Malaysia,2010,22.49064069,2.600213057,328550,330800,96.47,5.177757105,1.95539999,2.713343978,60857.532,30.56477927,7.058628841,0.344176327,0.343713518,55382.701,27.81512782,-1219.896484,259160,4960,21130,42720,10470,250,11910,581242.9375,1438317,2019559.875,6266889930,2.538188903,91895041.41,0.037218936,11991739608,4.856842987,423796545.2,0.171644261,34.56605359,38086739668,15.42572808,31633328053,12.81199497,32057124599,12.98363923,0.047230171,2.936034653,0.166404941,1.644121636,4.646951212,9.440742612,91.63917032,99.2240362,97.01774688,93.31696346,97.44973048,99.41403135,98.84265205,1.51366122,0.54671473,0.6,0.3,0.9,69.0410832
Malaysia,2011,22.92071222,2.634606605,328550,330800,96.56,5.127517271,2.163800001,2.635632688,64836.227,32.14966381,7.038856147,0.324300349,0.33062948,55588.053,27.5638682,-4561.47998,263030,4900,21330,43310,10700,260,12190,526692.5,1383315,1910007.5,6568512818,2.25805118,200859465.6,0.069049261,15909814586,5.469301285,498790711.4,0.171468791,34.90883559,48172022402,16.56004868,41197727238,14.1625021,41696517950,14.33397089,0.070011014,2.263477592,0.33492685,1.906833199,5.411659573,9.986908227,91.4949981,99.21594217,97.02388737,93.37020561,97.75716009,99.52615104,99.02391515,1.319261023,0.374551377,0.6,0.3,0.9,69.94101839
Malaysia,2012,23.8295541,2.6431289,328550,330800,96.62,4.946775677,2.519799948,2.61083836,66343.364,32.63644431,6.99321172,0.304240497,0.315974299,59918.78,29.47598386,-5819.300293,265900,4870,21520,43890,10920,270,12440,634875.875,1483168,2118044,6792409222,2.242910993,232492767.8,0.076771079,16322051715,5.389679571,535944233.7,0.17697332,32.0999301,40853719761,13.49024391,33108033161,10.93255266,33643977395,11.10952598,0.039233852,2.289487442,0.296650104,1.958147421,5.092159419,9.675678238,91.35082588,99.20784814,97.02948545,93.42080843,98.06458971,99.63827073,99.20196433,1.124860826,0.311867654,0.6,0.3,0.9,70.84699981
Malaysia,2013,24.52990412,2.443159336,328550,330396,96.49,5.327624792,2.747900009,2.503448363,75378.852,34.29117096,7.459383568,0.317718135,0.326365068,58037.609,26.40233327,-5293.800781,282940,4870,21720,44800,10020,280,11590,530701.8125,1493793,2024494.75,7642362162,2.445595021,208860990.7,0.066836586,15082492284,4.826474755,539617342.6,0.172680313,30.43497771,35030880189,11.21006102,30588492910,9.788474347,31128110253,9.961154659,0.027247111,2.096155248,0.301519083,1.845321444,4.491379491,8.761622378,91.20665366,99.19975411,97.0360237,93.47150322,98.37201933,99.75039042,99.37726706,1.124860826,0.304499793,0.6,0.3,0.8,71.75945971
