St,Year,Wat_Sup,For_Area,Non_For,Res_Ar,AR_OP,Pop_Es,Pop_Den,Cl_Ws,Sch_Ws,Mean_Temp,Rain
Johor,2004,1003,4729,1425,3557,9473,3029,144,0,4448,27,2466
Johor,2005,1003,4930,1405,3758,9473,3101,163,0,7670,27,2283
Johor,2006,1363,5084,1390,3914,1717,3171,167,1177,1149,27,2809
Johor,2007,1387,4902,1408,3914,1093,3241,169,1755,1449,27,2909
Johor,2008,1430,4417,1456,4412,8968,3312,172,1516,3132,27,2893
Johor,2008,1466,4684,1430,4387,4317,3385,176,1640,3381,27,2570
Johor,2010,1476,4672,1434,4326,5473,3363,172,1795,2952,27,2615
Johor,2011,1528,4667,1434,4322,4059,3411,175,1850,3453,27,2870
Johor,2012,1583,4667,1434,4322,6284,3450,179,2016,3441,27,2719
Johor,2013,1986,4667,1434,4322,3165,3494,181,2277,1704,27,2823
Johor,2014,1986,4667,1434,4321,5729,3533,184,2526,2296,27,2244
Johor,2015,1986,4492,1452,4146,4725,3610,189,2701,5350,27,2126
Johor,2016,1619,4492,1452,4146,2631,3652,191,2834,6836,28,2504
Johor,2017,1737,4477,1468,3327,1852,3697,193,2806,3949,27,2511
Johor,2018,1680,4477,1468,3327,3701,3749,196,3098,4218,27,2577
Johor,2019,1757,0,0,0,0,3764,196,0,0,28,1991
Kedah,2004,976,3453,5972,3426,4986,1813,175,0,3389,27,1963
Kedah,2005,976,3453,5972,3426,2607,1848,196,0,3156,27,2350
Kedah,2006,1029,3453,5972,3426,3265,1882,200,553,6135,27,2432
Kedah,2007,1088,3453,5972,3426,4419,1919,202,611,1036,27,2389
Kedah,2008,1157,3453,5972,3426,5447,1958,206,700,4599,27,2723
Kedah,2008,1173,3453,5972,3426,4031,2000,202,848,5349,27,2758
Kedah,2010,1194,3448,5976,3426,5602,1949,205,880,1473,27,2369
Kedah,2011,1237,3448,5976,3426,6308,1972,209,971,1170,27,2762
Kedah,2012,1292,3277,6147,3254,3265,2001,212,1031,1032,27,2804
Kedah,2013,1300,3442,5982,3419,5883,2030,215,1115,3176,27,2592
Kedah,2014,1299,3424,6000,3419,4598,2058,2063,1182,6974,27,2199
Kedah,2015,1315,3424,6000,3419,5328,2097,222,1266,4049,27,2285
Kedah,2016,1361,3424,6000,3419,7415,2120,224,1284,4811,28,2238
Kedah,2017,1370,3424,6000,3419,4599,2144,226,1406,5067,27,2441
Kedah,2018,1446,3424,6000,3419,3688,2163,228,1466,4043,27,2452
Kedah,2019,1474,0,0,0,0,2181,230,0,0,28,1986
Kelantan,2004,275,8942,5989,6293,1867,1480,87,0,963,25,2335
Kelantan,2005,275,8945,5985,6296,2103,1506,100,0,946,25,2815
Kelantan,2006,295,8945,5985,6296,3160,1531,102,590,1205,25,2860
Kelantan,2007,328,8867,6064,6296,2857,1561,103,673,1310,25,2706
Kelantan,2008,341,8678,6343,6238,3046,1595,106,764,1617,25,3272
Kelantan,2008,343,8640,6381,6238,2483,1634,104,845,1846,25,3371
Kelantan,2010,377,8621,6483,6238,2375,1590,105,858,2064,26,2754
Kelantan,2011,403,8121,6983,6238,2455,1619,107,650,1877,25,3260
Kelantan,2012,406,8121,6983,6238,2021,1651,109,971,2013,25,3324
Kelantan,2013,492,8121,6983,6238,1028,1682,111,706,1910,25,2984
Kelantan,2014,445,8121,6983,6238,1764,1707,1723,995,2238,26,2648
Kelantan,2015,454,8121,6983,6238,1506,1761,117,1169,2429,26,2602
Kelantan,2016,471,8121,6983,6354,1661,1797,119,1184,3109,26,2649
Kelantan,2017,475,8104,7000,6132,1287,1829,122,1162,2806,25,2715
Kelantan,2018,491,8104,7000,6132,2172,1861,124,1226,2453,25,3057
Kelantan,2019,503,0,0,0,0,1886,125,0,0,26,2294
Melaka,2004,399,6385,1587,5185,150,700,385,0,1331,27,2044
Melaka,2005,415,6385,1587,5185,262,713,432,0,7665,27,1990
Melaka,2006,393,6359,1587,5159,205,725,439,462,2223,27,2135
Melaka,2007,411,5307,1597,5079,275,739,444,510,2740,27,2255
Melaka,2008,428,5328,1602,5080,85,754,453,616,1817,27,2413
Melaka,2008,443,5328,1602,5080,57,769,486,684,1680,27,2164
Melaka,2010,443,5327,1598,5079,-,824,495,734,2124,27,2269
Melaka,2011,455,5066,1601,4818,38,833,504,776,2129,27,2247
Melaka,2012,478,5399,1598,5151,356,843,510,848,2557,27,2143
Melaka,2013,511,5399,1598,5151,-,852,516,935,5027,27,2220
Melaka,2014,532,5399,1598,5093,133,861,872,1024,6557,27,1876
